Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
ErNiGa2,11.4,0-5 T,,table_only_1stcheck5246.txt,104,"Excellent cryogenic magnetocaloric properties in heavy rare-earth based HRENiGa2 (HRE = Dy, Ho, or Er) compounds",SCIENCE CHINA-MATERIALS,10.1007/s40843-022-2095-6,Mp-00543
HoNiGa2,10.4,0-5 T,,table_only_1stcheck5246.txt,250,"Excellent cryogenic magnetocaloric properties in heavy rare-earth based HRENiGa2 (HRE = Dy, Ho, or Er) compounds",SCIENCE CHINA-MATERIALS,10.1007/s40843-022-2095-6,Mp-00544
TbMn2Ge2,9.1,5 T,97.5,table_only_1stcheck5268.txt,368,New insight into magneto-structural phase transitions in layered TbMn2Ge2-based compounds,SCIENTIFIC REPORTS,10.1038/srep45814,Mp-00545
MnP,3.2,5 T,291,table_only_1stcheck5313.txt,299,Influence of the strong magnetocrystalline anisotropy on the magnetocaloric properties of MnP single crystal,PHYSICAL REVIEW B,10.1103/PhysRevB.77.104439,Mp-00546
Dy2Mn2O7,20.1,1T and 7T T,39,table_only_1stcheck5317.txt,46,"Large reversible magnetocaloric effect in the ferromagnetic pyrochlores R2Mn2O7 (R = Dy, Ho, Yb)",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2019.165494,Mp-00547
Ho2Mn2O7,18.4,1T and 7T T,39,table_only_1stcheck5317.txt,220,"Large reversible magnetocaloric effect in the ferromagnetic pyrochlores R2Mn2O7 (R = Dy, Ho, Yb)",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2019.165494,Mp-00548
HoB2,40.1,5 T,15,table_only_1stcheck5349.txt,227,Machine-learning-guided discovery of the gigantic magnetocaloric effect in HoB2 near the hydrogen liquefaction temperature,NPG ASIA MATERIALS,10.1038/s41427-020-0214-y,Mp-00549
Gd2CoMnO6,25.4,,,table_only_1stcheck5357.txt,146,Giant Anisotropic Magnetocaloric Effect in Double-perovskite Gd2CoMnO6 Single Crystals,SCIENTIFIC REPORTS,10.1038/s41598-017-16416-z,Mp-00550
Tb6FeBi2,2.68,,246,table_only_1stcheck5358.txt,359,"Thermomagnetic properties near transitions of Tb6FeX2 (X = Sb, Bi)",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2006.10.005,Mp-00551
Tb6FeSb2,2.25,,256,table_only_1stcheck5358.txt,361,"Thermomagnetic properties near transitions of Tb6FeX2 (X = Sb, Bi)",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2006.10.005,Mp-00552
TmTiO3,7.2,2 T,65,table_only_1stcheck5369.txt,390,Large reversible magnetocaloric effect in TmTiO3 single crystal,JOURNAL OF APPLIED PHYSICS,10.1063/1.3675609,Mp-00553
TmTiO3,13.5,5 T,65,table_only_1stcheck5369.txt,391,Large reversible magnetocaloric effect in TmTiO3 single crystal,JOURNAL OF APPLIED PHYSICS,10.1063/1.3675609,Mp-00554
GdZn2,11.5,7 T,85,table_only_1stcheck5389.txt,215,Magnetocaloric effect in Gd-based ferromagnet GdZn2,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2016.09.104,Mp-00555
ErTiGe,0.8,5 T,39,table_only_1stcheck5400.txt,110,"Tunable magnetocaloric effect in RTi1-xMoxGe (R=Tb,Er) (x=0,0.15) compounds",EPL,10.1209/0295-5075/80/27001,Mp-00556
